source_question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,source_file,topic
1,"Your organization has a 5-petabyte BigQuery table containing five years of daily transactional data. Analysts consistently query this table by filtering for specific date ranges (e.g., ""transactions from the last 7 days""). How should you configure the table to minimize the amount of data scanned and reduce query costs?",Cluster the table by the transaction ID.,Implement time-unit column partitioning on the date column.,"Shard the table into multiple tables, creating one table per day.",Export the data to Cloud Storage and use external tables.,B,"is incorrect because while clustering improves performance for sorting and filtering on high-cardinality columns (like IDs), it does not provide the strict query cost guarantees that partitioning provides for date boundaries.","is correct because time-unit column partitioning divides a large table into smaller partitions based on a DATE or TIMESTAMP column. When a query filters on that column, BigQuery only scans the relevant partitions, significantly reducing bytes processed and cost.","is incorrect because date-sharded tables (e.g., table_20231025) are considered a legacy anti-pattern in BigQuery, leading to poor performance and management overhead compared to native partitioning.","is incorrect because exporting to Cloud Storage and using external tables generally results in slower analytical performance compared to native, partitioned BigQuery storage.",Data_analysis.docx,Data_analysis
2,"You need to build a machine learning model to predict whether a customer will make a purchase next month (a binary ""Yes/No"" outcome). The historical data resides in BigQuery, and your team has advanced SQL skills but limited Python or ML engineering experience. What is the most efficient approach?",Use Vertex AI Workbench to write a custom PyTorch model.,Use BigQuery ML to train a Logistic Regression model using standard SQL.,Export the data to a CSV and use a local Jupyter notebook.,Use BigQuery ML to train a K-Means clustering model.,B,"is incorrect because building a custom PyTorch model in Vertex AI Workbench requires extensive Python and ML engineering expertise, which the team lacks.","is correct because BigQuery ML allows data practitioners to build, train, and execute machine learning models using standard SQL within BigQuery. Logistic Regression is the correct algorithm for predicting binary classification outcomes (Yes/No).","is incorrect because exporting data locally breaks security and scalability paradigms, and requires Python/ML skills.","is incorrect because K-Means is an unsupervised clustering algorithm used for grouping unlabeled data, not for supervised binary classification predictions.",Data_analysis.docx,Data_analysis
3,"Your enterprise organization requires a Business Intelligence (BI) platform that enforces strict data governance. You need to define a centralized, version-controlled semantic layer so that a metric like ""Lifetime Value"" is calculated identically across all departments, regardless of who generates the report. Which tool should you use?",Looker Studio,Connected Sheets,Looker,Dataproc,C,"is incorrect because Looker Studio is an ad-hoc data visualization tool. While excellent for quick dashboards, it lacks a centralized, governed semantic modeling layer (LookML).","is incorrect because Connected Sheets allows users to analyze BigQuery data via Google Sheets, but it does not provide enterprise-wide semantic layer governance.","is correct because Looker is an enterprise-grade BI platform centered around LookML, a powerful modeling language that defines a reusable, version-controlled, and centralized semantic layer for governed business logic across an organization.","is incorrect because Dataproc is a Hadoop/Spark processing engine, not a Business Intelligence or presentation platform.",Data_analysis.docx,Data_analysis
4,"A marketing team needs to quickly create a free, interactive dashboard that merges data from a small BigQuery table and a Google Sheets document. They do not have engineering support and need a drag-and-drop interface. Which Google Cloud service is the best fit?",Looker,Looker Studio,BigQuery BI Engine,Cloud Composer,B,"is incorrect because Looker is a premium enterprise tool requiring LookML configuration, which is overkill and unsuitable for an unsupported team needing a quick, free solution.","is correct because Looker Studio (formerly Data Studio) is a free, user-friendly, drag-and-drop data visualization tool that natively supports blending data from various sources like Google Sheets and BigQuery without requiring engineering or LookML expertise.",is incorrect because BigQuery BI Engine is an in-memory analysis service for accelerating query speeds; it is not a dashboarding or visualization UI.,"is incorrect because Cloud Composer is an Apache Airflow pipeline orchestration tool, completely unrelated to building visual dashboards.",Data_analysis.docx,Data_analysis
5,"You have a BigQuery table containing millions of user interactions. You need to write a single, highly efficient SQL query to summarize the data, specifically counting the number of 'successful' vs. 'failed' transactions grouped by region. Which function is best suited for this conditional aggregation?",APPROX_COUNT_DISTINCT(),COUNTIF() combined with GROUP BY,SUM() without a GROUP BY,ROW_NUMBER(),B,"is incorrect because APPROX_COUNT_DISTINCT() is used to estimate the number of unique items (like unique user IDs), not to count occurrences based on a specific true/false condition.","is correct because COUNTIF(condition) is a highly efficient BigQuery aggregation function that counts only the rows where the specified condition evaluates to true. Paired with GROUP BY region, it elegantly summarizes categorical outcomes in a single pass.","is incorrect because SUM() adds numerical values together; it cannot perform conditional counting natively without complex CASE statements, and it requires a GROUP BY for regional breakdown.","is incorrect because ROW_NUMBER() is a window function used to assign sequential integers to rows, not an aggregation function for summarizing totals.",Data_analysis.docx,Data_analysis
6,You are a data analyst who needs to write a query in BigQuery to unnest an array of JSON structs containing order items so that each item appears on its own row alongside the parent order ID. Which SQL operator must you use?,JOIN with UNNEST,FLATTEN,PIVOT,CAST,A,"is correct because UNNEST takes an array and returns a table with one row for each element. To relate these unnested items back to their parent row (the order ID), you cross-join the original table with the unnested array using a comma or an explicit JOIN UNNEST() operator.",is incorrect because FLATTEN is a legacy SQL function. Google Cloud strongly recommends using Standard SQL with UNNEST for handling arrays and nested records.,"is incorrect because PIVOT changes rows into columns, which is the opposite of expanding an array into multiple rows.","is incorrect because CAST changes the data type of a column (e.g., string to integer); it does not flatten or unnest arrays.",Data_analysis.docx,Data_analysis
7,"Your finance department has requested the ability to analyze a 10-billion-row BigQuery table using pivot tables, charts, and formulas. They strongly prefer using the familiar Google Sheets interface and explicitly state that the data is too large to download locally. What is the appropriate solution?",Export the BigQuery table to CSV and upload it to Google Drive.,Use Dataproc to aggregate the data and push it to Google Sheets via API.,Utilize BigQuery Connected Sheets.,Use Looker Studio.,C,is incorrect because Google Sheets has a strict cell limit (10 million cells). Exporting a 10-billion-row CSV is impossible to load into a standard spreadsheet.,is incorrect because building a custom Dataproc API integration is unnecessarily complex and expensive when a native solution exists.,"is correct because Connected Sheets allows users to natively interact with massive BigQuery datasets directly within the Google Sheets interface. The heavy computational lifting is done by BigQuery in the background, circumventing row limits and the need to download data.","is incorrect because Looker Studio is a dashboarding tool, not a spreadsheet interface for performing pivot tables and cell-based formula calculations.",Data_analysis.docx,Data_analysis
8,"A data science team needs to perform exploratory data analysis and collaborate on Python code referencing BigQuery data. They require a fully managed, serverless Jupyter notebook environment built directly into the Google Cloud console that allows for easy sharing, similar to Google Docs. What should they use?",Colab Enterprise,Cloud Run,Dataproc with Hadoop,Cloud SQL,A,"is correct because Colab Enterprise provides a managed, collaborative Jupyter notebook environment integrated into Google Cloud. It allows data scientists to write Python, execute BigQuery queries, and share notebooks securely within the organization.","is incorrect because Cloud Run is a serverless container hosting environment for deploying web applications, not an interactive Jupyter notebook interface for exploratory analysis.","is incorrect because Dataproc requires provisioning and managing clusters; it is not a fully managed, serverless, collaborative notebook environment in the style of Colab.","is incorrect because Cloud SQL is a relational database service, entirely unrelated to Jupyter notebooks or Python execution environments.",Data_analysis.docx,Data_analysis
9,"You are designing a BigQuery architecture. Your marketing dashboard runs an identical, highly complex aggregation query every 5 minutes. The underlying data only changes once a day. How can you significantly reduce BigQuery compute costs and improve dashboard latency?",Create a standard logical View.,Create a Materialized View.,Export the data to Cloud Storage Standard class.,Increase the BigQuery slot capacity.,B,"is incorrect because a standard logical View does not store data; it simply saves the SQL query. Every time the dashboard queries a standard View, the full complex aggregation is re-executed, costing the same amount of money.","is correct because a Materialized View precomputes and caches the results of a query. When the dashboard queries the Materialized View, BigQuery reads the cached results instead of recomputing the complex aggregation, drastically reducing costs and improving latency.",is incorrect because exporting to Cloud Storage breaks the live dashboard connection and forces analysts to query slower object storage.,"is incorrect because increasing slot capacity will cost more money, not reduce costs.",Data_analysis.docx,Data_analysis
10,You need to analyze the text of customer reviews stored in BigQuery to group similar reviews into three distinct thematic clusters. You do not have predefined categories or labels. Which BigQuery ML model should you build?,K-Means clustering (model_type='kmeans'),Logistic Regression (model_type='logistic_reg'),Linear Regression (model_type='linear_reg'),Deep Neural Network (model_type='dnn_classifier'),A,is correct because K-Means is an unsupervised machine learning algorithm designed to partition unlabeled data into distinct groups (clusters) based on feature similarity.,"is incorrect because Logistic Regression is a supervised learning algorithm used for classification, requiring predefined labels (e.g., spam or not spam).","is incorrect because Linear Regression is a supervised algorithm used to predict continuous numerical values (e.g., predicting future sales revenue), not for grouping text.",is incorrect because a DNN Classifier is a complex supervised model that also requires labeled training data.,Data_analysis.docx,Data_analysis
